starttime	seconds	ctime	dtime	ttime	wait
Tue Jan 31 01:05:18 2023	1675105518	0	595	596	595
Tue Jan 31 01:05:14 2023	1675105514	0	596	596	590
Tue Jan 31 01:05:18 2023	1675105518	0	596	597	596
Tue Jan 31 01:05:17 2023	1675105517	1	596	597	209
Tue Jan 31 01:05:14 2023	1675105514	0	599	599	597
Tue Jan 31 01:05:17 2023	1675105517	1	599	599	321
Tue Jan 31 01:05:18 2023	1675105518	0	600	600	580
Tue Jan 31 01:05:17 2023	1675105517	7	594	601	163
Tue Jan 31 01:05:13 2023	1675105513	0	601	601	600
Tue Jan 31 01:05:18 2023	1675105518	0	601	601	600
Tue Jan 31 01:05:17 2023	1675105517	7	594	601	173
Tue Jan 31 01:05:18 2023	1675105518	0	602	602	597
Tue Jan 31 01:05:17 2023	1675105517	3	601	604	186
Tue Jan 31 01:05:17 2023	1675105517	0	604	605	240
Tue Jan 31 01:05:14 2023	1675105514	0	606	606	602
Tue Jan 31 01:05:14 2023	1675105514	0	606	606	604
Tue Jan 31 01:05:18 2023	1675105518	0	606	606	584
Tue Jan 31 01:05:15 2023	1675105515	0	607	607	606
Tue Jan 31 01:05:19 2023	1675105519	0	608	608	599
Tue Jan 31 01:05:19 2023	1675105519	0	608	608	598
Tue Jan 31 01:05:20 2023	1675105520	0	609	609	608
Tue Jan 31 01:05:17 2023	1675105517	8	601	610	180
Tue Jan 31 01:05:17 2023	1675105517	9	602	611	225
Tue Jan 31 01:05:18 2023	1675105518	0	612	612	611
Tue Jan 31 01:05:18 2023	1675105518	0	612	612	610
Tue Jan 31 01:05:20 2023	1675105520	0	613	613	612
Tue Jan 31 01:05:14 2023	1675105514	0	613	613	613
Tue Jan 31 01:05:19 2023	1675105519	0	614	614	613
Tue Jan 31 01:05:18 2023	1675105518	0	614	614	594
Tue Jan 31 01:05:17 2023	1675105517	7	609	616	190
Tue Jan 31 01:05:13 2023	1675105513	2	615	617	614
Tue Jan 31 01:05:17 2023	1675105517	5	612	617	191
Tue Jan 31 01:05:17 2023	1675105517	2	615	617	204
Tue Jan 31 01:05:18 2023	1675105518	0	620	620	619
Tue Jan 31 01:05:15 2023	1675105515	0	620	620	619
Tue Jan 31 01:05:16 2023	1675105516	0	621	621	620
Tue Jan 31 01:05:17 2023	1675105517	9	612	622	184
Tue Jan 31 01:05:19 2023	1675105519	0	625	625	154
Tue Jan 31 01:05:19 2023	1675105519	0	627	627	620
Tue Jan 31 01:05:18 2023	1675105518	1	627	628	624
Tue Jan 31 01:05:17 2023	1675105517	2	626	628	212
Tue Jan 31 01:05:14 2023	1675105514	0	628	628	627
Tue Jan 31 01:05:14 2023	1675105514	0	629	630	629
Tue Jan 31 01:05:17 2023	1675105517	0	629	630	260
Tue Jan 31 01:05:17 2023	1675105517	2	629	631	218
Tue Jan 31 01:05:14 2023	1675105514	0	631	631	630
Tue Jan 31 01:05:16 2023	1675105516	0	632	632	431
Tue Jan 31 01:05:14 2023	1675105514	0	632	632	632
Tue Jan 31 01:05:17 2023	1675105517	1	632	633	262
Tue Jan 31 01:05:19 2023	1675105519	0	633	633	633
Tue Jan 31 01:05:19 2023	1675105519	0	634	634	634
Tue Jan 31 01:05:19 2023	1675105519	0	635	635	618
Tue Jan 31 01:05:17 2023	1675105517	3	632	635	221
Tue Jan 31 01:05:16 2023	1675105516	0	635	635	599
Tue Jan 31 01:05:16 2023	1675105516	0	636	636	596
Tue Jan 31 01:05:17 2023	1675105517	11	625	636	202
Tue Jan 31 01:05:19 2023	1675105519	0	636	636	635
Tue Jan 31 01:05:14 2023	1675105514	0	637	637	589
Tue Jan 31 01:05:17 2023	1675105517	0	637	638	265
Tue Jan 31 01:05:19 2023	1675105519	0	638	638	570
Tue Jan 31 01:05:19 2023	1675105519	0	638	638	638
Tue Jan 31 01:05:18 2023	1675105518	0	638	638	637
Tue Jan 31 01:05:19 2023	1675105519	0	639	639	638
Tue Jan 31 01:05:14 2023	1675105514	0	641	641	632
Tue Jan 31 01:05:17 2023	1675105517	3	638	641	226
Tue Jan 31 01:05:19 2023	1675105519	0	641	641	641
Tue Jan 31 01:05:19 2023	1675105519	0	642	642	641
Tue Jan 31 01:05:14 2023	1675105514	0	642	642	642
Tue Jan 31 01:05:17 2023	1675105517	9	633	643	204
Tue Jan 31 01:05:16 2023	1675105516	0	643	643	642
Tue Jan 31 01:05:19 2023	1675105519	0	645	645	571
Tue Jan 31 01:05:18 2023	1675105518	0	646	646	646
Tue Jan 31 01:05:18 2023	1675105518	0	650	650	650
Tue Jan 31 01:05:19 2023	1675105519	0	651	651	650
Tue Jan 31 01:05:19 2023	1675105519	0	651	651	64
Tue Jan 31 01:05:15 2023	1675105515	0	654	654	653
Tue Jan 31 01:05:15 2023	1675105515	0	654	654	653
Tue Jan 31 01:05:14 2023	1675105514	0	654	654	654
Tue Jan 31 01:05:19 2023	1675105519	0	655	656	655
Tue Jan 31 01:05:17 2023	1675105517	0	659	659	302
Tue Jan 31 01:05:17 2023	1675105517	11	650	661	221
Tue Jan 31 01:05:17 2023	1675105517	0	661	661	287
Tue Jan 31 01:05:19 2023	1675105519	0	661	662	661
Tue Jan 31 01:05:17 2023	1675105517	2	659	662	246
Tue Jan 31 01:05:19 2023	1675105519	0	662	662	662
Tue Jan 31 01:05:15 2023	1675105515	0	663	663	651
Tue Jan 31 01:05:16 2023	1675105516	0	663	663	459
Tue Jan 31 01:05:19 2023	1675105519	0	663	664	663
Tue Jan 31 01:05:15 2023	1675105515	0	664	664	664
Tue Jan 31 01:05:18 2023	1675105518	0	664	664	664
Tue Jan 31 01:05:17 2023	1675105517	0	664	664	298
Tue Jan 31 01:05:19 2023	1675105519	0	665	665	662
Tue Jan 31 01:05:15 2023	1675105515	0	667	667	664
Tue Jan 31 01:05:17 2023	1675105517	0	670	670	305
Tue Jan 31 01:05:15 2023	1675105515	1	670	670	669
Tue Jan 31 01:05:18 2023	1675105518	0	671	671	258
