starttime	seconds	ctime	dtime	ttime	wait
Tue Jan 31 01:04:34 2023	1675105474	0	219	219	179
Tue Jan 31 01:04:40 2023	1675105480	0	220	220	219
Tue Jan 31 01:04:40 2023	1675105480	0	220	220	91
Tue Jan 31 01:04:33 2023	1675105473	2	219	220	218
Tue Jan 31 01:04:34 2023	1675105474	0	221	221	156
Tue Jan 31 01:04:40 2023	1675105480	3	218	221	189
Tue Jan 31 01:04:41 2023	1675105481	0	221	221	220
Tue Jan 31 01:04:38 2023	1675105478	0	221	221	221
Tue Jan 31 01:04:39 2023	1675105479	0	222	222	120
Tue Jan 31 01:04:39 2023	1675105479	0	222	222	221
Tue Jan 31 01:04:33 2023	1675105473	2	220	222	219
Tue Jan 31 01:04:38 2023	1675105478	0	222	222	192
Tue Jan 31 01:04:34 2023	1675105474	0	223	223	210
Tue Jan 31 01:04:35 2023	1675105475	0	223	223	181
Tue Jan 31 01:04:34 2023	1675105474	0	223	223	223
Tue Jan 31 01:04:40 2023	1675105480	0	224	224	223
Tue Jan 31 01:04:35 2023	1675105475	0	224	224	212
Tue Jan 31 01:04:39 2023	1675105479	0	224	224	223
Tue Jan 31 01:04:34 2023	1675105474	0	224	224	223
Tue Jan 31 01:04:34 2023	1675105474	0	224	225	129
Tue Jan 31 01:04:38 2023	1675105478	3	222	225	220
Tue Jan 31 01:04:40 2023	1675105480	0	225	225	144
Tue Jan 31 01:04:35 2023	1675105475	0	225	225	225
Tue Jan 31 01:04:39 2023	1675105479	0	225	225	224
Tue Jan 31 01:04:33 2023	1675105473	2	224	226	223
Tue Jan 31 01:04:36 2023	1675105476	0	226	226	217
Tue Jan 31 01:04:40 2023	1675105480	0	226	226	225
Tue Jan 31 01:04:41 2023	1675105481	0	226	226	225
Tue Jan 31 01:04:33 2023	1675105473	2	224	227	223
Tue Jan 31 01:04:38 2023	1675105478	0	227	227	224
Tue Jan 31 01:04:40 2023	1675105480	0	227	227	223
Tue Jan 31 01:04:38 2023	1675105478	0	227	227	149
Tue Jan 31 01:04:40 2023	1675105480	0	227	227	94
Tue Jan 31 01:04:34 2023	1675105474	0	228	228	227
Tue Jan 31 01:04:33 2023	1675105473	2	225	228	225
Tue Jan 31 01:04:38 2023	1675105478	0	228	228	205
Tue Jan 31 01:04:35 2023	1675105475	0	229	229	222
Tue Jan 31 01:04:39 2023	1675105479	0	229	229	218
Tue Jan 31 01:04:33 2023	1675105473	2	228	230	225
Tue Jan 31 01:04:38 2023	1675105478	0	230	230	228
Tue Jan 31 01:04:36 2023	1675105476	0	230	230	229
Tue Jan 31 01:04:40 2023	1675105480	0	231	231	73
Tue Jan 31 01:04:38 2023	1675105478	0	231	231	229
Tue Jan 31 01:04:40 2023	1675105480	1	230	232	191
Tue Jan 31 01:04:39 2023	1675105479	0	232	232	218
Tue Jan 31 01:04:40 2023	1675105480	0	232	232	231
Tue Jan 31 01:04:39 2023	1675105479	0	232	232	231
Tue Jan 31 01:04:34 2023	1675105474	0	232	232	229
Tue Jan 31 01:04:34 2023	1675105474	0	233	233	231
